,S&P500 ,S&P500 월간수익률,미국채10년 변화율,S&P500 VIX 변화율,신용거래 변화율,MOVE Index 변화율,실업률 변화율,기대인플레이션 10년 변화율,금가격 변화율
2020-11-30,3621.63 ,10.75%,-0.03 ,-45.90%,9.53%,-34.03%,-0.20,0.08 ,-5.42%
2020-10-30,3269.96 ,-2.77%,0.19 ,44.18%,0.76%,57.89%,-0.90,0.08 ,-0.37%
2020-09-30,3363.00 ,-3.92%,-0.02 ,-0.15%,1.36%,-16.61%,-0.60,-0.17 ,-4.17%
2020-08-31,3500.31 ,7.01%,0.17 ,7.97%,5.17%,12.01%,-1.80,0.25 ,-0.41%
2020-07-31,3271.12 ,5.51%,-0.12 ,-19.62%,4.99%,-22.45%,-0.80,0.22 ,10.94%
2020-06-30,3100.29 ,1.84%,0.00 ,10.61%,5.82%,5.00%,-2.20,0.20 ,2.93%
2020-05-29,3044.31 ,4.53%,0.02 ,-19.44%,5.31%,-3.81%,-1.60,0.07 ,2.60%
2020-04-30,2912.43 ,12.68%,-0.03 ,-36.22%,9.47%,-36.10%,10.40,0.14 ,6.93%
2020-03-31,2584.59 ,-12.51%,-0.48 ,33.48%,-12.08%,-23.53%,0.90,-0.50 ,-0.54%
2020-02-28,2954.22 ,-8.41%,-0.35 ,112.90%,-2.97%,50.27%,-0.10,-0.21 ,-0.22%
2020-01-31,3225.52 ,-0.16%,-0.41 ,36.72%,-3.01%,25.22%,0.00,-0.15 ,4.74%
2019-12-31,3230.78 ,2.86%,0.14 ,9.19%,2.79%,3.02%,0.00,0.15 ,3.64%
2019-11-29,3140.98 ,3.40%,0.09 ,-4.54%,1.60%,-14.13%,0.00,0.08 ,-3.24%
2019-10-31,3037.56 ,2.04%,0.02 ,-18.60%,-0.23%,-14.66%,0.10,0.03 ,2.75%
2019-09-30,2976.74 ,1.72%,0.17 ,-14.44%,-1.59%,-11.15%,-0.10,-0.02 ,-3.15%
2019-08-30,2926.46 ,-1.81%,-0.51 ,17.74%,-6.19%,57.28%,-0.10,-0.21 ,7.54%
2019-07-31,2980.38 ,1.31%,0.01 ,6.90%,0.98%,-21.56%,0.10,0.05 ,0.30%
2019-06-28,2941.76 ,6.89%,-0.12 ,-19.40%,4.84%,-3.09%,0.00,-0.04 ,7.96%
2019-05-31,2752.06 ,-6.58%,-0.37 ,42.61%,-3.39%,46.92%,-0.10,-0.21 ,1.72%
2019-04-30,2945.83 ,3.93%,0.10 ,-4.30%,2.56%,-15.50%,-0.10,0.07 ,-0.68%
2019-03-29,2834.40 ,1.79%,-0.31 ,-7.24%,-1.24%,23.99%,0.00,-0.07 ,-1.59%
2019-02-28,2784.49 ,2.97%,0.09 ,-10.80%,2.25%,-5.21%,-0.20,0.08 ,-0.60%
2019-01-31,2704.10 ,7.87%,-0.05 ,-34.82%,2.55%,-25.19%,0.10,0.15 ,3.02%
2018-12-31,2506.85 ,-9.18%,-0.31 ,40.68%,-6.46%,26.99%,0.10,-0.25 ,5.08%
2018-11-30,2760.17 ,1.79%,-0.15 ,-14.88%,-2.48%,-12.80%,0.00,-0.09 ,0.47%
2018-10-31,2711.74 ,-6.94%,0.08 ,75.17%,-6.25%,30.25%,0.10,-0.08 ,2.01%
2018-09-28,2913.98 ,0.43%,0.20 ,-5.75%,-0.65%,-8.97%,-0.10,0.05 ,-0.86%
2018-08-31,2901.52 ,3.03%,-0.10 ,0.23%,-0.06%,9.04%,0.00,-0.04 ,-1.88%
2018-07-31,2816.29 ,3.60%,0.10 ,-20.26%,0.91%,-9.12%,-0.20,0.00 ,-2.27%
2018-06-29,2718.37 ,0.48%,0.00 ,4.28%,-3.29%,-15.49%,0.20,0.04 ,-3.54%
2018-05-31,2705.27 ,2.16%,-0.09 ,-3.14%,2.55%,20.23%,-0.20,-0.09 ,-1.28%
2018-04-30,2648.05 ,0.27%,0.21 ,-20.23%,1.10%,-13.98%,0.00,0.12 ,-0.76%
2018-03-29,2640.87 ,-2.69%,-0.12 ,0.60%,0.03%,-7.04%,-0.10,-0.06 ,0.54%
2018-02-28,2713.83 ,-3.89%,0.16 ,46.60%,-3.10%,10.10%,0.10,0.01 ,-1.99%
2018-01-31,2823.81 ,5.62%,0.30 ,22.64%,3.57%,22.75%,-0.10,0.13 ,3.25%
2017-12-29,2673.61 ,0.98%,0.00 ,-2.13%,2.45%,-0.49%,-0.10,0.10 ,2.18%
2017-11-30,2647.58 ,2.81%,0.04 ,10.81%,3.22%,-8.45%,0.00,0.00 ,0.28%
2017-10-31,2575.26 ,2.22%,0.04 ,7.05%,0.25%,-3.27%,-0.10,0.03 ,-0.65%
2017-09-29,2519.36 ,1.93%,0.21 ,-10.20%,1.64%,3.41%,-0.10,0.08 ,-3.15%
2017-08-31,2471.65 ,0.05%,-0.18 ,3.22%,0.36%,6.22%,0.10,-0.05 ,4.10%
2017-07-31,2470.30 ,1.93%,0.00 ,-8.23%,1.74%,-12.83%,0.00,0.08 ,2.24%
2017-06-30,2423.41 ,0.48%,0.09 ,7.40%,0.26%,2.35%,-0.10,-0.10 ,-2.15%
2017-05-31,2411.80 ,1.16%,-0.08 ,-3.79%,-1.36%,-10.37%,0.00,-0.08 ,0.05%
2017-04-28,2384.20 ,0.91%,-0.11 ,-12.53%,2.27%,-0.83%,0.00,-0.06 ,1.53%
2017-03-31,2362.72 ,-0.04%,-0.01 ,-4.26%,1.59%,-14.86%,-0.20,-0.03 ,0.06%
2017-02-28,2363.64 ,3.72%,-0.06 ,7.76%,2.72%,-1.68%,-0.10,-0.05 ,3.12%
2017-01-31,2278.87 ,1.79%,0.01 ,-14.60%,4.57%,1.24%,0.00,0.09 ,5.51%
2016-12-30,2238.83 ,1.82%,0.06 ,5.33%,-1.96%,-11.52%,0.00,0.00 ,-2.19%
2016-11-30,2198.81 ,3.42%,0.56 ,-21.86%,3.10%,23.66%,-0.20,0.24 ,-8.14%
2016-10-31,2126.15 ,-1.94%,0.23 ,28.37%,-3.12%,8.11%,-0.10,0.12 ,-2.94%
2016-09-30,2168.27 ,-0.12%,0.02 ,-0.97%,5.97%,-12.34%,0.10,0.14 ,0.53%
2016-08-31,2170.95 ,-0.12%,0.13 ,13.06%,-0.60%,7.69%,0.10,-0.02 ,-3.13%
2016-07-29,2173.60 ,3.56%,-0.02 ,-24.06%,5.25%,-11.69%,-0.10,0.05 ,2.22%
2016-06-30,2098.86 ,0.09%,-0.37 ,10.15%,-0.46%,6.96%,0.10,-0.14 ,8.77%
2016-05-31,2096.96 ,1.53%,0.01 ,-9.62%,-1.07%,4.61%,-0.30,-0.13 ,-6.05%
2016-04-29,2065.30 ,0.27%,0.06 ,12.54%,2.33%,-5.64%,0.10,0.08 ,4.93%
2016-03-31,2059.74 ,6.60%,0.03 ,-32.12%,2.06%,-17.49%,0.10,0.20 ,-0.48%
2016-02-29,1932.23 ,-0.41%,-0.19 ,1.73%,-2.68%,12.68%,0.10,0.02 ,10.77%
2016-01-29,1940.24 ,-5.07%,-0.35 ,10.93%,-3.23%,9.07%,-0.20,-0.17 ,5.38%
2015-12-31,2043.94 ,-1.75%,0.06 ,12.90%,-2.32%,-2.93%,-0.10,-0.04 ,-0.34%
2015-11-30,2080.41 ,0.05%,0.06 ,7.03%,0.29%,-4.36%,0.10,0.09 ,-6.77%
2015-10-30,2079.36 ,8.30%,0.10 ,-38.49%,3.35%,-10.40%,0.00,0.10 ,2.42%
2015-09-30,1920.03 ,-2.64%,-0.18 ,-13.82%,-3.62%,-7.03%,-0.10,-0.21 ,-1.75%
2015-08-31,1972.18 ,-6.26%,0.03 ,134.57%,-2.79%,15.82%,-0.10,-0.11 ,3.57%
2015-07-31,2103.84 ,1.97%,-0.17 ,-33.52%,-3.14%,-17.89%,-0.10,-0.15 ,-6.53%
2015-06-30,2063.11 ,-2.10%,0.23 ,31.72%,1.16%,11.56%,-0.30,0.06 ,-1.53%
2015-05-29,2107.39 ,1.05%,0.09 ,-4.88%,-1.51%,9.84%,0.20,-0.10 ,0.52%
2015-04-30,2085.51 ,0.85%,0.11 ,-4.84%,6.16%,-12.55%,0.00,0.15 ,0.07%
2015-03-31,2067.89 ,-1.74%,-0.07 ,14.62%,2.60%,-5.78%,-0.10,-0.06 ,-2.44%
2015-02-27,2104.50 ,5.49%,0.35 ,-36.39%,3.92%,3.53%,-0.20,0.19 ,-5.50%
2015-01-30,1994.99 ,-3.10%,-0.52 ,9.22%,-1.99%,28.05%,0.10,-0.04 ,8.39%
2014-12-31,2058.90 ,-0.42%,0.00 ,44.04%,-0.12%,3.55%,-0.20,-0.12 ,1.46%
2014-11-28,2067.56 ,2.45%,-0.16 ,-4.99%,0.70%,-3.08%,0.10,-0.13 ,-0.47%
2014-10-31,2018.05 ,2.32%,-0.17 ,-13.98%,-2.19%,6.99%,-0.20,-0.04 ,-2.91%
2014-09-30,1972.29 ,-1.55%,0.15 ,36.14%,0.58%,6.14%,-0.20,-0.16 ,-6.15%
2014-08-29,2003.37 ,3.77%,-0.22 ,-29.32%,0.47%,7.14%,-0.10,-0.14 ,0.37%
2014-07-31,1930.67 ,-1.51%,0.03 ,46.50%,-0.72%,7.06%,0.10,0.02 ,-3.37%
2014-06-30,1960.23 ,1.91%,0.06 ,1.49%,5.66%,-9.53%,-0.20,0.03 ,6.21%
