날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
1992-10-30,212.94,,,,1227.97,155.39999
,,,,,1239.87,151.81
,,,,,1224,148.36
,,,,,1238.04,151.53999
,,,,,1180.99,142.85001
,,,,,1184.16,144.78
,,,,,1176.48,142.56
,,,,,1143.13,141.61
,,,,,1155.11,143.7
,,,,,1160.89,142.42999
,,,,,1214.75,146.34
,,,,,1120.18,127.91
,,,,,1150,131.27
,,,,,1151.69,129.34
,,,,,1149.12,129.49001
,,,,,1132.99,125.43
,,,,,1097.6,121.47
,,,,,1142.48,127.37
,,,,,1122.84,120.08
,,,,,1128.32,122.03
,,,,,1106.69,116.31
,,,,,1058.95,109.35
,,,,,1039.66,105.65
,,,,,1018.05,101.13
,,,,,965.31,93.86
,,,,,957.88,92.37
,,,,,1001.22,95.6
,,,,,1099.49,106.8
,,,,,1096.09,107.63
,,,,,1105.63,106.57
,,,,,1033.67,95.73
,,,,,1082.01,98.71
,,,,,1067.13,95.14
,,,,,1071.48,94.7
,,,,,1144.36,100
,,,,,1115.21,
,,,,,1099.28,
,,,,,1108.01,
,,,,,1116.87,
,,,,,1105.55,
,,,,,1026.74,
,,,,,1025.3,
,,,,,987.69,
,,,,,947.35,
,,,,,927.58,
,,,,,944.38,
,,,,,896.18,
,,,,,889.85,
,,,,,913.6,
,,,,,885.48,
,,,,,848.18,
,,,,,869.84,
,,,,,867.39,
,,,,,842.88,
,,,,,833.53,
,,,,,841.38,
,,,,,865.93,
,,,,,842.49,
,,,,,788.63,
,,,,,747.57,
,,,,,795.75,
,,,,,967.68,
,,,,,990.66,
,,,,,961.32,
,,,,,930.45,
,,,,,886.38,
,,,,,885.14,
,,,,,907.66,
,,,,,919.57,
,,,,,899.11,
,,,,,810.75,
,,,,,834.92,
,,,,,819.73,
,,,,,778.15,
,,,,,845.73,
,,,,,782.43,
,,,,,807.19,
,,,,,789.16,
,,,,,756.53,
,,,,,770.78,
,,,,,721.06,
,,,,,664.9,
,,,,,654.25,
,,,,,623.9,
,,,,,587.77,
,,,,,559.21,
,,,,,577.86,
,,,,,580.33,
,,,,,591.3,
,,,,,577.61,
,,,,,547.69,
,,,,,546.68,
,,,,,529.01,
,,,,,516.7,
,,,,,493.27,
,,,,,482.18,
,,,,,481.82,
,,,,,474.19,
,,,,,471.36,
,,,,,435.92,
,,,,,439,
,,,,,421.43,
,,,,,436.38,
,,,,,435.16,
,,,,,433.17,
,,,,,452.58,
,,,,,458.76,
,,,,,470.39,
,,,,,465.81,
,,,,,455.11,
,,,,,435.09,
,,,,,433.89,
,,,,,433.87,
,,,,,429.14,
,,,,,428.58,
,,,,,408.63,
,,,,,395.8,
,,,,,385.92,
,,,,,380.22,
,,,,,377.42,
,,,,,365.79,
,,,,,334.83,
,,,,,326.02,
,,,,,296.79,
,,,,,302.65,
,,,,,307.55,
,,,,,319.89,
,,,,,309.73,
,,,,,310.45,
,,,,,314.49,
,,,,,316.11,
,,,,,322.98,
,,,,,309.18,
,,,,,293.39,
,,,,,302.52,
,,,,,315.66,
,,,,,323.21,
,,,,,322.14,
,,,,,317.17,
,,,,,311.13,
,,,,,292.7,
,,,,,286.33,
,,,,,285.73,
,,,,,280.03,
,,,,,274.21,
,,,,,275.57,
,,,,,277.25,
,,,,,277.03,
,,,,,263.86,
,,,,,257.75,
,,,,,244.99,
,,,,,228.37,
,,,,,239.85,
,,,,,253.13,
,,,,,248.69,
,,,,,248.21,
,,,,,239.91,
,,,,,259.1,
,,,,,262.96,
,,,,,254.54,
,,,,,251.55,
,,,,,242.88,
,,,,,244.56,
,,,,,246.66,
,,,,,238.46,
,,,,,244.89,
,,,,,233.79,
,,,,,234.49,
,,,,,231.75,
,,,,,250.01,
,,,,,251.61,
,,,,,247.09,
,,,,,238.57,
,,,,,240.8,
,,,,,239.64,
,,,,,227.99,
,,,,,221.67,
,,,,,225.25,
,,,,,239.95,
,,,,,240.64,
,,,,,234.62,
,,,,,244.76,
,,,,,243.81,
,,,,,250.25,
,,,,,251.67,
,,,,,243.75,
,,,,,246.19,
,,,,,243.63,
,,,,,244.9,
,,,,,249.96,
,,,,,256.93,
,,,,,243.53,
,,,,,241.7,
,,,,,245,
,,,,,238.73,
,,,,,238.01,
,,,,,237.66,
,,,,,231.06,
,,,,,234.36,
,,,,,234.05,
,,,,,231.42,
,,,,,233.46,
,,,,,211.33,
,,,,,211.21,
,,,,,205.83,
,,,,,196.57,
,,,,,201.29,
,,,,,204.09,
,,,,,212.6,
,,,,,202.64,
,,,,,195.87,
,,,,,191.38,
,,,,,188.86,
,,,,,186.25,
,,,,,160,
,,,,,162,
,,,,,168.49,
,,,,,149.57,
,,,,,159.05,
,,,,,174.63,
,,,,,182.22,
,,,,,187.56,
,,,,,198.21,
,,,,,215.97,
,,,,,222.85,
,,,,,221.04,
,,,,,216.07,
,,,,,210.74,
,,,,,237.15,
,,,,,242.12,
,,,,,228.58,
,,,,,235.6,
,,,,,234.32,
,,,,,240.19,
,,,,,245.78,
,,,,,250.86,
,,,,,255.19,
,,,,,263.52,
,,,,,268.17,
,,,,,270.73,
,,,,,257.4,
,,,,,250.76,
,,,,,252.41,
,,,,,243.87,
,,,,,245.11,
,,,,,248.53,
,,,,,247.19,
,,,,,249.04,
,,,,,249.09,
