날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
2018-09-28,1779.51538,1144.5033,343.28,528.077,7968.64,2623.34009
2018-08-31,1768.39001,1142.34204,338.498,518.725,8017.75,2598.57788
2018-07-31,1688.81604,1130.36304,324.544,496.632,7894.4,2552.01294
2018-06-29,1633.76025,1088.2124,313.01,481.219,7632.56,2431.06909
2018-05-31,1625.51294,1083.22595,312.7,482.829,7542.68,2410.28809
2018-04-30,1560.92798,1083.75598,301.391,471.887,7509.39,2387.24902
2018-03-30,1557.68396,1080.05298,297.538,477.136,7559.98,2408.93506
2018-02-28,1607.375,1104.70605,308.947,489.259,7514.95,2431.23804
2018-01-31,1643.26697,1172.00403,311.701,508.27,7866.27,2559.36401
2017-12-29,1533.38098,1126.98206,288.05,484.961,7668.59,2464.25293
2017-11-30,1526.07495,1110.20203,286.353,478.964,7770.23,2414.58496
2017-10-31,1487.34497,1077.13501,279.96,462.397,7501.7,2308.10303
2017-09-29,1441.36597,1066.45801,264.263,457.015,7369,2275.21509
2017-08-31,1427.15002,1034.13196,256.955,444.5,7325.8,2206.95093
2017-07-31,1409.14795,1049.58801,255.765,445.552,7281.4,2220.30908
2017-06-30,1374.36902,1037.13403,248.718,440.961,7191.32,2195.87891
2017-05-31,1381.64294,1019.34998,244.792,440.574,7231.73,2175.19189
2017-04-28,1346.396,1025.64197,240.487,434.571,7058.12,2159.31006
2017-03-31,1321.83704,1027.88306,238.492,430.422,6990.1,2126.21289
2017-02-28,1307.26099,1042.16602,238.231,429.729,7012.74,2121.38501
2017-01-31,1258.71106,1006.32098,230.056,414.618,6726.07,2044.58496
2016-12-30,1223.021,1001.12299,225.781,408.496,6684.3,2024.37598
2016-11-30,1207.52905,977.95453,218.838,401.008,6534.9,2003.83105
2016-10-31,1195.68994,923.03998,220.523,386.901,6517.27,1935.70496
2016-09-30,1222.52502,938.79688,225.175,393.231,6676.69,2028.67004
2016-08-31,1219.16003,943.84003,225.378,396.969,6758.87,2056.61011
2016-07-29,1225.23999,941.35999,225.979,398.487,6903.06,2066.48291
2016-06-30,1171.76001,917.9566,217.908,386.89,6887.84,2019.01001
2016-05-31,1177.70996,911.57001,216.2,385.898,6532.89,1962.94995
2016-04-29,1149.32996,906.23999,210.362,383.374,6437.61,1947.43201
2016-03-31,1164.93994,888.95001,213.709,381.732,6490.89,1931.75
2016-02-29,1093.22998,833.62,203.514,360.932,6141.61,1806.85999
2016-01-29,1104.33301,831.90369,204.613,357.582,6091.86,1772.51001
2015-12-31,1163.69995,876.09003,214.858,375.564,6208.1,1810.22998
2015-11-30,1183.44995,892.92999,214.752,383.047,6230.28,1825.96997
2015-10-30,1184.51001,891.01001,214.133,381.825,6174.94,1817.89001
2015-09-30,1083.67004,831.71002,198.413,352.48,5789.23,1693.72998
2015-08-31,1109.72998,857.31,201.039,361.213,5828.69,1735.62
2015-07-31,1183.93994,914.40997,212.124,385.941,6141.24,1824.89099
2015-06-30,1143.55603,912.40118,204.183,380.373,5893.61,1782.60999
2015-05-29,1167.62,932.40997,210.862,387.99,6015.63,1814.67004
2015-04-30,1149.31995,928.27002,204.718,380.831,5974.04,1790.88
2015-03-31,1144.68994,915.87,210.96,382.311,6103.08,1806.32996
2015-02-27,1165.83997,931.28003,213.729,388.331,6141.1,1827.54004
2015-01-30,1102.13,885.53003,200.681,366.659,6066.28,1744.46899
2014-12-31,1121.62,927.96997,204.637,376.443,6099.63,1793.55005
2014-11-28,1134.04004,924.77002,207.183,375.612,6044,1790.80005
2014-10-31,1102.83997,906.41998,201.852,362.661,5890.65,1723.43994
2014-09-30,1072.23206,891.10999,199.719,350.489,5621.38,1650.35999
2014-08-29,1085.31006,908.71997,199.519,356.068,5684.93,1652.42004
2014-07-31,1042.17004,879.22998,191.845,340.009,5492.15,1588.68994
